"name","kind","ok","converged","ofv","method","n_warnings","seconds","error"
"adaptive_tdm","adaptive",TRUE,NA,NA,NA,NA,0,""
"adaptive_vanco_loading","adaptive",TRUE,NA,NA,NA,NA,0,""
"binary_logistic","fit",TRUE,TRUE,213.595494657299,"FOCEI",1,0,""
"bioavailability","fit",TRUE,TRUE,-489.470299709121,"FOCEI",2,0.1,""
"bioavailability_ode","fit",TRUE,TRUE,-489.470299711229,"FOCEI",1,5.7,""
"biphasic_igd_absorption","fit",TRUE,TRUE,-1077.63580112202,"FOCEI",4,0.6,""
"emax_pkpd","fit",TRUE,TRUE,-36.6238409295083,"FOCEI",5,2.5,""
"emax_timecourse","fit",TRUE,TRUE,62.5384680554313,"FOCE",0,0.1,""
"igd_inverse_gaussian","fit",TRUE,TRUE,-899.400674074215,"FOCEI",2,1.2,""
"infusion_absorption","predict",TRUE,NA,NA,NA,NA,0,NA
"mixed_absorption","fit",TRUE,TRUE,-435.609311790772,"FOCEI",6,0.1,""
"mm_multistart","fit",TRUE,TRUE,-453.398513790586,"FOCEI",1,11.2,""
"mm_oral","fit",TRUE,TRUE,-453.398513933349,"FOCEI",0,0.9,""
"one_cpt_ig","fit",TRUE,TRUE,-1303.53607621345,"FOCEI",1,6.2,""
"one_cpt_iv","fit",TRUE,TRUE,-317.106779405662,"FOCE",0,0.1,""
"one_cpt_iv_ode","fit",TRUE,TRUE,-317.106779408126,"FOCE",0,0.7,""
"one_cpt_iv_pooled","fit",TRUE,TRUE,-269.637010420852,"FOCEI",1,0,""
"one_cpt_transit","fit",TRUE,TRUE,-1063.87978039687,"FOCEI",0,0.1,""
"one_cpt_transit_iov","fit",TRUE,TRUE,-449.187101831538,"FOCEI",0,0.9,""
"parallel_absorption","fit",TRUE,TRUE,-381.79013769746,"FOCEI",4,0.1,""
"per_route_lag_absorption","fit",TRUE,TRUE,-514.277972970484,"FOCEI",2,0.2,""
"pktte_joint","fit",TRUE,TRUE,66.9754722347346,"FOCEI",5,0.5,""
"sequential_absorption","fit",TRUE,TRUE,-615.924297860771,"FOCEI",0,0.3,""
"ss_absorption","predict",TRUE,NA,NA,NA,NA,0,NA
